index,leverage_cap,status,timestamp
0,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:39.919760
2,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:39.944321
3,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:39.959207
6,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:39.974558
7,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:39.991137
8,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.006459
11,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.020997
12,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.035865
13,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.051205
14,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.065514
16,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.081542
17,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.097953
18,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.113574
20,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.129068
21,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.143348
23,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.157373
24,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.172326
25,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.188715
26,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.205073
27,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.220360
28,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.235665
29,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.250801
30,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.265225
31,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.279701
34,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.294578
35,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.309790
36,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.324082
39,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.338551
44,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.354154
45,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.370107
46,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.384851
50,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.399742
52,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.414989
53,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.429819
54,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.443885
58,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.458172
59,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.473474
60,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.489093
67,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.503137
68,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.517440
72,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.533406
73,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.547765
74,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.562701
76,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.579021
77,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.593950
79,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.608972
81,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.625200
83,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.639801
84,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.654898
89,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.669773
90,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.685121
94,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.700701
95,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.714557
96,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.728205
98,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.742651
99,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.757873
100,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.772254
102,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.787244
105,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.801847
106,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.817026
108,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.832672
109,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.847704
110,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.862964
112,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.879085
114,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.894276
116,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.909109
118,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.924214
120,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.938729
121,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.952806
125,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.966743
127,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.981570
128,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:40.996245
129,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:41.010963
130,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:41.025206
131,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:41.039358
132,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:41.054349
133,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:41.069307
134,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:41.084922
136,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:41.098908
137,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:41.113039
138,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:41.129019
140,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:41.143458
142,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:41.158098
143,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:41.173372
144,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:41.189689
149,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:41.205119
150,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:41.219716
152,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:41.235610
158,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:41.250362
162,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:41.265583
165,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:41.280638
166,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:41.295510
167,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:41.310108
168,0.1,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:41.324110
170,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:41.338708
171,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:41.353804
175,0.5,Bio Stress Detected - Trade Adjusted,2026-05-11 07:30:41.369358
